Year,Team,Position,SoS_Color,SoS_Score
2023,ARI,QB,Dark Green,4
2023,ATL,QB,Light Green,3
2023,BAL,QB,Red,1
2023,BUF,QB,Red,1
2023,CAR,QB,Red,1
2023,CHI,QB,Light Green,3
2023,CIN,QB,Light Green,3
2023,CLE,QB,Red,1
2023,DAL,QB,Red,1
2023,DEN,QB,Light Green,3
2023,DET,QB,Dark Green,4
2023,GNB,QB,Orange,2
2023,HOU,QB,Light Green,3
2023,IND,QB,Orange,2
2023,JAX,QB,Dark Green,4
2023,KAN,QB,Red,1
2023,LAC,QB,Dark Green,4
2023,LAR,QB,Dark Green,4
2023,LVR,QB,Orange,2
2023,MIA,QB,Dark Green,4
2023,MIN,QB,Light Green,3
2023,NWE,QB,Red,1
2023,NOR,QB,Orange,2
2023,NYG,QB,Orange,2
2023,NYJ,QB,Red,1
2023,PHI,QB,Dark Green,4
2023,PIT,QB,Orange,2
2023,SEA,QB,Light Green,3
2023,SFO,QB,Orange,2
2023,TAM,QB,Light Green,3
2023,TEN,QB,Orange,2
2023,WAS,QB,Dark Green,4
2023,ARI,RB,Dark Green,4
2023,ATL,RB,Red,1
2023,BAL,RB,Orange,2
2023,BUF,RB,Light Green,3
2023,CAR,RB,Dark Green,4
2023,CHI,RB,Dark Green,4
2023,CIN,RB,Light Green,3
2023,CLE,RB,Orange,2
2023,DAL,RB,Red,1
2023,DEN,RB,Dark Green,4
2023,DET,RB,Red,1
2023,GNB,RB,Light Green,3
2023,HOU,RB,Orange,2
2023,IND,RB,Dark Green,4
2023,JAX,RB,Light Green,3
2023,KAN,RB,Orange,2
2023,LAC,RB,Light Green,3
2023,LAR,RB,Red,1
2023,LVR,RB,Light Green,3
2023,MIA,RB,Red,1
2023,MIN,RB,Orange,2
2023,NWE,RB,Orange,2
2023,NOR,RB,Orange,2
2023,NYG,RB,Light Green,3
2023,NYJ,RB,Dark Green,4
2023,PHI,RB,Orange,2
2023,PIT,RB,Light Green,3
2023,SEA,RB,Dark Green,4
2023,SFO,RB,Red,1
2023,TAM,RB,Red,1
2023,TEN,RB,Red,1
2023,WAS,RB,Dark Green,4
2023,ARI,WR,Orange,2
2023,ATL,WR,Red,1
2023,BAL,WR,Orange,2
2023,BUF,WR,Red,1
2023,CAR,WR,Red,1
2023,CHI,WR,Light Green,3
2023,CIN,WR,Light Green,3
2023,CLE,WR,Red,1
2023,DAL,WR,Red,1
2023,DEN,WR,Orange,2
2023,DET,WR,Dark Green,4
2023,GNB,WR,Orange,2
2023,HOU,WR,Orange,2
2023,IND,WR,Orange,2
2023,JAX,WR,Light Green,3
2023,KAN,WR,Red,1
2023,LAC,WR,Dark Green,4
2023,LAR,WR,Dark Green,4
2023,LVR,WR,Orange,2
2023,MIA,WR,Light Green,3
2023,MIN,WR,Dark Green,4
2023,NWE,WR,Light Green,3
2023,NOR,WR,Red,1
2023,NYG,WR,Dark Green,4
2023,NYJ,WR,Red,1
2023,PHI,WR,Dark Green,4
2023,PIT,WR,Orange,2
2023,SEA,WR,Light Green,3
2023,SFO,WR,Light Green,3
2023,TAM,WR,Light Green,3
2023,TEN,WR,Dark Green,4
2023,WAS,WR,Dark Green,4
2023,ARI,TE,Orange,2
2023,ATL,TE,Dark Green,4
2023,BAL,TE,Red,1
2023,BUF,TE,Red,1
2023,CAR,TE,Red,1
2023,CHI,TE,Dark Green,4
2023,CIN,TE,Dark Green,4
2023,CLE,TE,Red,1
2023,DAL,TE,Red,1
2023,DEN,TE,Dark Green,4
2023,DET,TE,Dark Green,4
2023,GNB,TE,Orange,2
2023,HOU,TE,Dark Green,4
2023,IND,TE,Light Green,3
2023,JAX,TE,Light Green,3
2023,KAN,TE,Orange,2
2023,LAC,TE,Orange,2
2023,LAR,TE,Dark Green,4
2023,LVR,TE,Orange,2
2023,MIA,TE,Light Green,3
2023,MIN,TE,Orange,2
2023,NWE,TE,Red,1
2023,NOR,TE,Light Green,3
2023,NYG,TE,Red,1
2023,NYJ,TE,Light Green,3
2023,PHI,TE,Light Green,3
2023,PIT,TE,Light Green,3
2023,SEA,TE,Light Green,3
2023,SFO,TE,Orange,2
2023,TAM,TE,Dark Green,4
2023,TEN,TE,Red,1
2023,WAS,TE,Orange,2