Rk,Conf,Year
1,SEC,2019
2,Big Ten,2019
3,Big 12,2019
4,Pac-12,2019
5,American,2019
6,ACC,2019
7,MWC,2019
8,Sun Belt,2019
9,Ind,2019
10,CUSA,2019
11,MAC,2019
1,SEC,2020
2,MAC,2020
3,Big 12,2020
4,Big Ten,2020
5,ACC,2020
6,American,2020
7,Sun Belt,2020
8,Pac-12,2020
9,MWC,2020
10,Ind,2020
11,CUSA,2020
2,SEC,2021
11,MAC,2021
3,Big 12,2021
1,Big Ten,2021
4,ACC,2021
6,American,2021
9,Sun Belt,2021
5,Pac-12,2021
7,MWC,2021
8,Ind,2021
10,CUSA,2021
1,SEC,2022
11,MAC,2022
2,Big 12,2022
3,Big Ten,2022
5,ACC,2022
6,American,2022
7,Sun Belt,2022
4,Pac-12,2022
9,MWC,2022
8,Ind,2022
10,CUSA,2022
1,SEC,2023
11,MAC,2023
4,Big 12,2023
3,Big Ten,2023
5,ACC,2023
9,American,2023
6,Sun Belt,2023
2,Pac-12,2023
8,MWC,2023
7,Ind,2023
10,CUSA,2023
1,SEC,2024
8,MAC,2024
3,Big 12,2024
2,Big Ten,2024
4,ACC,2024
7,American,2024
6,Sun Belt,2024
9,MWC,2024
5,Ind,2024
10,CUSA,2024